source;symbol;url;ticker;zb_exchange;yahoo ticker;yahoo url
euronext;NRJ:PAR;https://live.euronext.com/en/product/equities/FR0000121691-XPAR;NRJ;PAR;NRG.PA;https://finance.yahoo.com/quote/NRG.PA/
euronext;ABI:BRU;https://live.euronext.com/en/product/equities/BE0974293251-XBRU;ABI;BRU;ABI.BR;https://finance.yahoo.com/quote/ABI.BR/
euronext;IRES:DUB;https://live.euronext.com/en/product/equities/IE00BJ34P519-XMSM;IRES;DUB;IRES.IR;https://finance.yahoo.com/quote/IRES.IR/
euronext;MN:BIT;https://live.euronext.com/en/product/equities/IT0001469383-MTAA;MN;BIT;MN.MI;https://finance.yahoo.com/quote/MN.MI/
euronext;VAC:PAR;https://live.euronext.com/en/product/equities/FR0000073041-XPAR;VAC;PAR;VAC.PA;https://finance.yahoo.com/quote/VAC.PA/
google;DATA:LON;https://www.google.com/finance/quote/DATA:LON?hl=en;DATA;LON;DATA.L;https://finance.yahoo.com/quote/DATA.L/
zonebourse;TATE:LON;https://www.zonebourse.com/cours/action/TATE-LYLE-PLC-4000590/;TATE;LON;TATE.L;https://finance.yahoo.com/quote/TATE.L/
zonebourse;BP:LON;https://www.zonebourse.com/cours/action/BP-PLC-9590188/;BP;LON;BP.L;https://finance.yahoo.com/quote/BP.L/
zonebourse;LSEG:LON;https://www.zonebourse.com/cours/action/LONDON-STOCK-EXCHANGE-GRO-4005918/;LSEG;LON;LSEG.L;https://finance.yahoo.com/quote/LSEG.L/
zonebourse;META:NASDAQ;https://www.zonebourse.com/cours/action/META-PLATFORMS-INC-10547141/;META;NASDAQ;META;https://finance.yahoo.com/quote/META/
zonebourse;WY:NYSE;https://www.zonebourse.com/cours/action/WEYERHAEUSER-COMPANY-14932/;WY;NYSE;WY;https://finance.yahoo.com/quote/WY/
zonebourse;LAND:SIX;https://www.zonebourse.com/cours/action/LANDIS-GYR-GROUP-AG-37186614/;LAND;SIX;LAND.SW;https://finance.yahoo.com/quote/LAND.SW/
fx;EURUSD;https://www.tradingview.com/symbols/EURUSD/?exchange=FX_IDC;EURUSD;USD;EURUSD=X;https://finance.yahoo.com/quote/EURUSD=X/
fx;EURGBP;https://www.tradingview.com/symbols/EURGBP/?exchange=FX_IDC;EURGBP;GBP;EURGBP=X;https://finance.yahoo.com/quote/EURGBP=X/
fx;EURCHF;https://www.tradingview.com/symbols/EURCHF/?exchange=FX_IDC;EURCHF;CHF;EURCHF=X;https://finance.yahoo.com/quote/EURCHF=X/
fx;EURSEK;https://www.tradingview.com/symbols/EURSEK/?exchange=FX_IDC;EURSEK;SEK;EURSEK=X;https://finance.yahoo.com/quote/EURSEK=X/
fx;EURDKK;https://www.tradingview.com/symbols/EURDKK/?exchange=FX_IDC;EURDKK;DKK;EURDKK=X;https://finance.yahoo.com/quote/EURDKK=X/
fx;EURNOK;https://www.tradingview.com/symbols/EURNOK/?exchange=FX_IDC;EURNOK;NOK;EURNOK=X;https://finance.yahoo.com/quote/EURNOK=X/
fx;EURHKD;https://www.tradingview.com/symbols/EURHKD/?exchange=FX_IDC;EURHKD;HKD;EURHKD=X;https://finance.yahoo.com/quote/EURHKD=X/
zonebourse;DOKA:SIX;https://www.zonebourse.com/cours/action/DORMAKABA-HOLDING-AG-73755/;DOKA;SIX;DOKA.SW;https://finance.yahoo.com/quote/DOKA.SW/
euronext;RECT:BRU;https://live.euronext.com/en/product/equities/BE0003656676-XBRU;RECT;BRU;RECT.BR;https://finance.yahoo.com/quote/RECT.BR/
euronext;ICOS:BIT;https://live.euronext.com/en/product/equities/IT0005455875-MTAA;ICOS;BIT;ICOS.MI;https://finance.yahoo.com/quote/ICOS.MI/
